
--- Channel: -1001556007364 ---
  URL: https://bitli.in/NbJc0Oa -> [FAIL]
  URL: https://bitli.in/lrDzyIt -> [FAIL]
  URL: https://bitli.in/842VRt3 -> [FAIL]
  URL: https://bitli.in/x4A68JT -> [FAIL]
  URL: https://bitli.in/knw4na3 -> [FAIL]
  URL: https://bitli.in/7YGL4GW -> [FAIL]
  URL: https://bitli.in/oZlnHqR -> [FAIL]
  URL: https://bitli.in/BjJ8wY5 -> [FAIL]
  URL: https://bitli.in/z2LRtjp -> [FAIL]
  URL: https://bitli.in/pj80BW4 -> [FAIL]
  URL: https://bitli.in/6b4w76a -> [FAIL]
  URL: https://myntr.it/099VUM0 -> [PASS]
  URL: https://myntr.it/H0I0og1 -> [PASS]
  URL: https://bitli.in/q5Ndc51 -> [FAIL]
  URL: https://fkrt.cc/h0QHZXG -> [FAIL]
  URL: https://bitli.in/AmBWxjh -> [FAIL]
  URL: https://bitli.in/zWczvi1 -> [FAIL]
  URL: https://bitli.in/l69hzWc -> [FAIL]
  URL: https://ajiio.in/kGzZQHn -> [PASS]
  URL: https://bitli.in/vP7v5BU -> [FAIL]
  URL: https://bitli.in/W44uGUB -> [FAIL]
  URL: https://bitli.in/KdQp5yJ -> [FAIL]
  URL: https://bitli.in/qIk6wdH -> [FAIL]
  URL: https://bitli.in/cm4lixJ -> [FAIL]
  URL: https://bitli.in/ApSgGtO -> [FAIL]
  URL: https://bitli.in/BNGgwgx -> [FAIL]
  URL: https://fkrt.cc/hd9rQzk -> [FAIL]
  URL: https://bitli.in/5Mc9lTu -> [FAIL]
  URL: https://ajiio.in/on4R967 -> [PASS]
  URL: https://ajiio.in/eY8T5dg -> [PASS]
  URL: https://ajiio.in/UHd9Jxc -> [PASS]
  URL: https://ajiio.in/PYF7NNq -> [PASS]
  URL: https://ajiio.in/pT8cgxb -> [PASS]
  URL: https://bitli.in/ux0B9wM -> [FAIL]

--- Channel: -1001480964161 ---
  URL: https://bitli.in/aynygEl -> [FAIL]
  URL: https://fkrt.cc/hPQ4BmL -> [FAIL]
  URL: https://bitli.in/6BERN50 -> [FAIL]
  URL: https://fkrt.cc/hbjp6td -> [FAIL]
  URL: https://bitli.in/kpWh754 -> [FAIL]
  URL: https://bitli.in/5PKZIb7 -> [FAIL]
  URL: https://bitli.in/mvNM751 -> [FAIL]
  URL: https://bitli.in/s3HzrL5 -> [FAIL]
  URL: https://bitli.in/ZsXi6T9 -> [FAIL]
  URL: https://bitli.in/G0z1tb7 -> [FAIL]
  URL: https://bitli.in/0WN7V7l -> [FAIL]
  URL: https://bitli.in/9YCbU6f -> [FAIL]
  URL: https://bitli.in/vRdiXwx -> [FAIL]
  URL: https://ajiio.in/n6x1c3M -> [PASS]
  URL: https://ajiio.in/lUC8UnM -> [PASS]
  URL: https://ajiio.in/Kzo2N4q -> [PASS]
  URL: https://ajiio.in/yPN5GzG -> [PASS]
  URL: https://bitli.in/JIQKW5o -> [FAIL]
  URL: https://bitli.in/pt8dx9s -> [FAIL]
  URL: https://bitli.in/hIc9aGW -> [FAIL]
  URL: https://bitli.in/B9yRsCh -> [FAIL]
  URL: https://bitli.in/j4shcxn -> [FAIL]
  URL: https://bitli.in/0llSpM1 -> [FAIL]
  URL: https://bitli.in/Mm1CUgb -> [FAIL]
  URL: https://bitli.in/gfgFutC -> [FAIL]
  URL: https://myntr.it/jgHunQl -> [PASS]
  URL: https://myntr.it/HfVohRp -> [PASS]
  URL: https://myntr.it/9KS21J3 -> [PASS]
  URL: https://bitli.in/ldSwV4k -> [FAIL]
  URL: https://bitli.in/f071432 -> [FAIL]
  URL: https://bitli.in/VaNFaF1 -> [FAIL]
  URL: https://bitli.in/f071432 -> [FAIL]
  URL: https://bitli.in/FDCftqY -> [FAIL]
  URL: https://fkrt.cc/hiJewru -> [FAIL]
  URL: https://fkrt.cc/huYzVjy -> [FAIL]
  URL: https://fkrt.cc/hh1SI1c -> [FAIL]
  URL: https://fkrt.cc/hLlR9bl -> [FAIL]
  URL: https://fkrt.cc/hnFXZ4x -> [FAIL]
  URL: https://fkrt.cc/hXwSg8Y -> [FAIL]
  URL: https://fkrt.cc/hJGOF2j -> [FAIL]
  URL: https://fkrt.cc/hzs7SgI -> [FAIL]
  URL: https://bitli.in/Zrk9NfS -> [FAIL]
  URL: https://bitli.in/QiDdsvw -> [FAIL]
  URL: https://bitli.in/Skd6lWJ -> [FAIL]
  URL: https://bitli.in/Skd6lWJ -> [FAIL]
  URL: https://bitli.in/4wCArc4 -> [FAIL]
  URL: https://bitli.in/6oK53yC -> [FAIL]
  URL: https://bitli.in/nyhJuHJ -> [FAIL]
  URL: https://bitli.in/lytgbyb -> [FAIL]
  URL: https://bitli.in/iHMfjzx -> [FAIL]
  URL: https://bitli.in/aHJEcfn -> [FAIL]
  URL: https://bitli.in/SyYOa3Q -> [FAIL]
  URL: https://bitli.in/9gTz93P -> [FAIL]
  URL: https://bitli.in/9gTz93P -> [FAIL]
  URL: https://bitli.in/92pUne7 -> [FAIL]
  URL: https://ajiio.in/tD9e2Yh -> [PASS]
  URL: https://ajiio.in/XZr9F4q -> [PASS]
  URL: https://bitli.in/I36onib -> [FAIL]
  URL: https://bitli.in/CSWAGRH -> [FAIL]
  URL: https://bitli.in/fubXvku -> [FAIL]
  URL: https://bitli.in/Qx0LHyt -> [FAIL]
  URL: https://bitli.in/h0WtwOK -> [FAIL]
  URL: https://bitli.in/C5h8gPE -> [FAIL]
  URL: https://bitli.in/i330LRw -> [FAIL]
  URL: https://bitli.in/O8mtbVD -> [FAIL]
  URL: https://bitli.in/fhKdMwM -> [FAIL]
  URL: https://bitli.in/BLnjTV4 -> [FAIL]
  URL: https://bitli.in/UiinwgT -> [FAIL]
  URL: https://bitli.in/f7HQnnm -> [FAIL]
  URL: https://myntr.it/SU2LmsE -> [PASS]
  URL: https://ajiio.in/DseeQLf -> [PASS]
  URL: https://ajiio.in/7eH905t -> [PASS]
  URL: https://ajiio.in/ofupFU1 -> [PASS]
  URL: https://ajiio.in/r5ypnYu -> [PASS]
  URL: https://fkrt.cc/hELf2BL -> [FAIL]
  URL: https://bitli.in/c9SoBx3 -> [FAIL]
  URL: https://bitli.in/rjrO0FW -> [FAIL]
  URL: https://bitli.in/NsUw3dG -> [FAIL]
  URL: https://bitli.in/umFDHJn -> [FAIL]
  URL: https://fkrt.cc/h1flaF9 -> [FAIL]
  URL: https://ajiio.in/YGJNOHx -> [PASS]
  URL: https://ajiio.in/id51aww -> [PASS]
  URL: https://ajiio.in/NXhkuYu -> [PASS]
  URL: https://ajiio.in/1nt1zCt -> [PASS]
  URL: https://bitli.in/9dUq7db -> [FAIL]
  URL: https://bitli.in/ZKk2V32 -> [FAIL]
  URL: https://bitli.in/ZKk2V32 -> [FAIL]
  URL: https://bitli.in/9ddEos1 -> [FAIL]
  URL: https://bitli.in/k8cd0vz -> [FAIL]
  URL: https://fkrt.cc/haEB3es -> [FAIL]
  URL: https://fkrt.cc/hlrKXc8 -> [FAIL]
  URL: https://fkrt.cc/hEgPQV1 -> [FAIL]
  URL: https://fkrt.cc/hTybqMt -> [FAIL]
  URL: https://fkrt.cc/hUCUYrV -> [FAIL]
  URL: https://fkrt.cc/hxoCnS9 -> [FAIL]
  URL: https://fkrt.cc/hyukJ00 -> [FAIL]
  URL: https://fkrt.cc/hgezmVU -> [FAIL]
  URL: https://fkrt.cc/hdBY3mW -> [FAIL]
  URL: https://fkrt.cc/hGDmX0U -> [FAIL]
  URL: https://fkrt.cc/hs6nLdR -> [FAIL]
  URL: https://fkrt.cc/hxVZYCU -> [FAIL]
  URL: https://fkrt.cc/hYm0YGw -> [FAIL]
  URL: https://fkrt.cc/hRQPBJT -> [FAIL]
  URL: https://fkrt.cc/hadWjyk -> [FAIL]
  URL: https://fkrt.cc/hmz7OAE -> [FAIL]
  URL: https://fkrt.cc/hRwXXIU -> [FAIL]
